source_xpath,target_xpath,comment
/xml/dataset/repositoryid,TechnicalInfo/StudyId/IDSchema,"Chaîne brute directe."
/xml/dataset/id,TechnicalInfo/StudyId/Identifier,"Chaîne brute directe."
/xml/dataset/metadata/additional/status,TechnicalInfo/Status,"Chaîne brute directe."
/xml/dataset/metadata/additional/versionLang,TechnicalInfo/VersionLang,"Chaîne brute directe."
/xml/dataset/metadata/additional/originLang,TechnicalInfo/OriginLang,"Chaîne brute directe."
/xml/dataset/created,TechnicalInfo/CreationDate,"Date ISO brute à nettoyer au format YYYY-MM-DD."
/xml/dataset/metadata/additional/lastUpdatedAuto,TechnicalInfo/LastUpdatedAuto,"Date ISO brute à nettoyer au format YYYY-MM-DD."
/xml/dataset/metadata/additional/lastUpdatedManual,TechnicalInfo/LastUpdatedManual,"Date ISO brute à nettoyer au format YYYY-MM-DD."
/xml/dataset/metadata/additional/autoTranslation,TechnicalInfo/AutoTranslation,"Chaîne booléenne (0/1)."
/xml/dataset/title,StudyRelatedInfo/StudyOverview/Title,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/title_statement/alternate_title,StudyRelatedInfo/StudyOverview/Acronym,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/study_info/abstract,StudyRelatedInfo/StudyOverview/Summary,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/study_info/purpose,StudyRelatedInfo/StudyOverview/Purpose,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/study_info/keywords/keyword/keyword,StudyRelatedInfo/StudyOverview/Keyword,"TABLEAU : Liste simple plate."
/xml/dataset/metadata/additional/isHealthTheme,StudyRelatedInfo/Theme/IsHealthTheme,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab='health determinant']/topic,StudyRelatedInfo/Theme/HealthDeterminant,"TABLEAU : FILTRE CONDITIONNEL."
/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab!='health determinant']/topic,StudyRelatedInfo/Theme/Pathology/value,"TABLEAU PARALLÈLE : Extrait la valeur de la pathologie."
/xml/dataset/metadata/study_desc/study_info/topics/topic[vocab!='health determinant']/extLink/extlink/uri,StudyRelatedInfo/Theme/Pathology/URI,"TABLEAU PARALLÈLE : Extrait l'URI de la pathologie."
/xml/dataset/metadata/additional/rareDiseases/values,StudyRelatedInfo/Theme/RareDiseases,"Conversion textuelle de Oui/Non en booléen strict."
/xml/dataset/metadata/additional/universe/level_type_clusion_I,StudyRelatedInfo/Population/PopulationType,"Chaîne brute directe."
/xml/dataset/metadata/additional/universe/sexe/item,StudyRelatedInfo/Population/DemographicInfo/Sex/value,"TABLEAU : Liste simple."
/xml/dataset/metadata/additional/universe/level_age_clusion_I/level_age_clusion_i,StudyRelatedInfo/Population/DemographicInfo/Age/value,"TABLEAU : Liste simple."
/xml/dataset/metadata/additional/universe/clusion_I,StudyRelatedInfo/Population/OtherClusion/InclusionCriterion,"Chaîne brute directe."
/xml/dataset/metadata/additional/universe/clusion_E,StudyRelatedInfo/Population/OtherClusion/ExclusionCriterion,"Chaîne brute directe."
/xml/dataset/nation/item/name,StudyRelatedInfo/Population/GeographicalCoverage/Nation/value,"TABLEAU : Liste simple."
/xml/dataset/metadata/additional/geogCoverage/values/value,StudyRelatedInfo/Population/GeographicalCoverage/FranceRegion,"TABLEAU : Liste simple."
/xml/dataset/metadata/additional/geographicalCoverage/geoDetail,StudyRelatedInfo/Population/GeographicalCoverage/GeoDetail,"Chaîne brute directe."
/xml/dataset/metadata/additional/regulatoryRequirements/conformityDeclaration,AdministrativeInformation/RegulatoryRequirements/ConformityDeclaration,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/study_authorization/agency/item/name,AdministrativeInformation/RegulatoryRequirements/ObtainedAuthorization/AuthorizingAgency,"TABLEAU : Liste simple."
/xml/dataset/metadata/additional/isContributorPI,AdministrativeInformation/IsContributorPI,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/study_desc/authoring_entity/item/name,AdministrativeInformation/PrimaryInvestigator/PIName,"TABLEAU PARALLÈLE : Nom Investigateur."
/xml/dataset/metadata/study_desc/authoring_entity/item/email,AdministrativeInformation/PrimaryInvestigator/PIMail,"TABLEAU PARALLÈLE : Mail Investigateur."
/xml/dataset/metadata/study_desc/authoring_entity/item/extlink/item[title='ORCID']/uri,AdministrativeInformation/PrimaryInvestigator/PIORCID,"TABLEAU PARALLÈLE : ORCID."
/xml/dataset/metadata/study_desc/authoring_entity/item/extlink/item[title='IdRef']/uri,AdministrativeInformation/PrimaryInvestigator/PIIdRef,"TABLEAU PARALLÈLE : IdRef."
/xml/dataset/metadata/study_desc/authoring_entity/item/affiliationName,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/OrganisationName,"TABLEAU PARALLÈLE : Nom orga."
/xml/dataset/metadata/study_desc/authoring_entity/item/extlink/item[role='organisation id']/title,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/OrganisationPID/PIDSchema,"TABLEAU PARALLÈLE MULTIPLE : ROR, SIREN, etc."
/xml/dataset/metadata/study_desc/authoring_entity/item/extlink/item[role='organisation id']/uri,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/OrganisationPID/URI,"TABLEAU PARALLÈLE MULTIPLE : URIs PIDs."
/xml/dataset/metadata/study_desc/authoring_entity/item/PILabo,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/PILabo,"TABLEAU PARALLÈLE : Labo."
/xml/dataset/metadata/study_desc/authoring_entity/item/extlink/item[title='RNSR']/uri,AdministrativeInformation/PrimaryInvestigator/PIAffiliation/PILaboId,"TABLEAU PARALLÈLE : URI RNSR isolé."
/xml/dataset/metadata/study_desc/authoring_entity/item/isContact,AdministrativeInformation/PrimaryInvestigator/IsPIContact,"TABLEAU PARALLÈLE : Contact 0/1."
/xml/dataset/metadata/additional/addTeamMember,AdministrativeInformation/AddTeamMember,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/study_desc/distribution_statement/contact/item/name,AdministrativeInformation/ContactPoint/ContactName,"TABLEAU PARALLÈLE : Nom Contact."
/xml/dataset/metadata/study_desc/distribution_statement/contact/item/email,AdministrativeInformation/ContactPoint/EMail,"TABLEAU PARALLÈLE : Mail Contact."
/xml/dataset/metadata/study_desc/distribution_statement/contact/item/affiliationName,AdministrativeInformation/ContactPoint/ContactPointAffiliation/OrganisationName,"TABLEAU PARALLÈLE : Nom orga contact."
/xml/dataset/metadata/study_desc/distribution_statement/contact/item/extlink/item[role='organisation id']/title,AdministrativeInformation/ContactPoint/ContactPointAffiliation/OrganisationPID/PIDSchema,"TABLEAU PARALLÈLE MULTIPLE : ROR, SIREN, etc."
/xml/dataset/metadata/study_desc/distribution_statement/contact/item/extlink/item[role='organisation id']/uri,AdministrativeInformation/ContactPoint/ContactPointAffiliation/OrganisationPID/URI,"TABLEAU PARALLÈLE MULTIPLE : URIs PIDs."
/xml/dataset/metadata/study_desc/distribution_statement/contact/item/contactPointLabo,AdministrativeInformation/ContactPoint/ContactPointAffiliation/ContactPointLabo,"TABLEAU PARALLÈLE : Labo."
/xml/dataset/metadata/study_desc/distribution_statement/contact/item/extlink/item[title='RNSR']/uri,AdministrativeInformation/ContactPoint/ContactPointAffiliation/ContactPointLaboId,"TABLEAU PARALLÈLE : URI RNSR isolé."
/xml/dataset/metadata/study_desc/production_statement/funding_agencies/funding_agency/name,AdministrativeInformation/FundingAgent/FundingAgentName,"TABLEAU PARALLÈLE : Nom Funder."
/xml/dataset/metadata/additional/fundingAgent/fundingAgentType/fundingagenttype,AdministrativeInformation/FundingAgent/FundingAgentType,"TABLEAU PARALLÈLE : Type Funder."
/xml/dataset/metadata/study_desc/production_statement/funding_agencies/funding_agency/extlink/item[role='organisation id']/title,AdministrativeInformation/FundingAgent/FundingAgentPID/PIDSchema,"TABLEAU PARALLÈLE MULTIPLE : ROR, SIREN, etc."
/xml/dataset/metadata/study_desc/production_statement/funding_agencies/funding_agency/extlink/item[role='organisation id']/uri,AdministrativeInformation/FundingAgent/FundingAgentPID/URI,"TABLEAU PARALLÈLE MULTIPLE : URIs PIDs."
/xml/dataset/metadata/additional/sponsorName/values/value,AdministrativeInformation/OrganisationGovernance/Sponsor/SponsorName,"TABLEAU PARALLÈLE : Nom Sponsor."
/xml/dataset/metadata/additional/sponsorType/values/value,AdministrativeInformation/OrganisationGovernance/Sponsor/SponsorType,"TABLEAU PARALLÈLE : Type Sponsor."
/xml/dataset/metadata/study_desc/production_statement/producers/producer/extlink/item[role='organisation id']/title,AdministrativeInformation/OrganisationGovernance/Sponsor/SponsorPID/PIDSchema,"TABLEAU PARALLÈLE MULTIPLE : ROR, SIREN, etc."
/xml/dataset/metadata/study_desc/production_statement/producers/producer/extlink/item[role='organisation id']/uri,AdministrativeInformation/OrganisationGovernance/Sponsor/SponsorPID/URI,"TABLEAU PARALLÈLE MULTIPLE : URIs PIDs."
/xml/dataset/metadata/additional/governance/committee,AdministrativeInformation/OrganisationGovernance/Governance/Committee,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/additional/collaborations/networkConsortium,AdministrativeInformation/OrganisationGovernance/Collaborations/NetworkConsortium,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/study_desc/method/analysis_unit,StudyMethodology/AnalysisUnit,"Chaîne brute directe."
/xml/dataset/metadata/additional/researchType/values/value,StudyMethodology/ResearchType,"Chaîne brute directe."
/xml/dataset/metadata/additional/interventionalStudy/isClinicalTrial,StudyMethodology/InterventionalStudy/IsClinicalTrial,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/additional/trialPhase/values/value,StudyMethodology/InterventionalStudy/TrialPhase,"Chaîne brute directe."
/xml/dataset/metadata/additional/interventionalStudy/interventionalStudyModel,StudyMethodology/InterventionalStudy/InterventionalStudyModel,"Chaîne brute directe."
/xml/dataset/metadata/additional/observationalStudy/values,StudyMethodology/ObservationalStudy/ObservationalStudyDesign,"Chaîne brute directe."
/xml/dataset/metadata/additional/isInclusionGroups,StudyMethodology/IsInclusionGroups,"Chaîne booléenne (0/1)."
/xml/dataset/metadata/additional/inclusionGroups/inclusiongroup/name,StudyMethodology/InclusionGroup/GroupName,"TABLEAU PARALLÈLE : Zipping requis."
/xml/dataset/metadata/additional/inclusionGroups/inclusiongroup/description,StudyMethodology/InclusionGroup/GroupDescription,"TABLEAU PARALLÈLE."
/xml/dataset/metadata/additional/intervention/item/name,StudyMethodology/Intervention/InterventionName,"TABLEAU PARALLÈLE."
/xml/dataset/metadata/additional/intervention/item/type,StudyMethodology/Intervention/InterventionType,"TABLEAU PARALLÈLE."
/xml/dataset/metadata/additional/targetSampleSize/values/value,DataCollectionAccess/DataCollectionIntegration/SampleSize/PlannedSampleSize,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/method/data_collection/response_rate,DataCollectionAccess/DataCollectionIntegration/SampleSize/FinalSampleSize,"Chaîne brute directe."
/xml/dataset/metadata/additional/collectionStartDate/values/value,DataCollectionAccess/DataCollectionIntegration/CollectionChronology/CollectionStart,"Chaîne brute directe."
/xml/dataset/metadata/additional/collectionEndDate/values/value,DataCollectionAccess/DataCollectionIntegration/CollectionChronology/CollectionEnd,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/method/data_collection/frequency,DataCollectionAccess/DataCollectionIntegration/CollectionChronology/CollectionFrequency,"Chaîne brute directe."
/xml/dataset/metadata/additional/collectionProcess/collectionModeDetails,DataCollectionAccess/DataCollectionIntegration/DataCollection/CollectionProcess/CollectionModeDetails,"Chaîne brute directe."
/xml/dataset/metadata/study_desc/method/data_collection/sample_frame/frame_unit/unit_type,DataCollectionAccess/DataCollectionIntegration/DataCollection/RecruitmentSource,"Nettoyage liste (ast.literal_eval)."
