prefLabel_fr,prefLabel_en,exactMatch,identifier
Prénatal,Prenatal,,FAG1350
Nouveau-né (naissance à 28j),"Infant, Newborn (birth to 28 days)",http://id.nlm.nih.gov/mesh/D007231,FAG5352
Nourrisson (28j à 2 ans),Infant (28 days to 2 years),http://id.nlm.nih.gov/mesh/D007223,FAG8437
Petite enfance (2 à 5 ans),"Child, Preschool (2 to 5 years)",http://id.nlm.nih.gov/mesh/D002675,FAG9579
Enfance (6 à 12 ans),Child (6 to 12 years),http://id.nlm.nih.gov/mesh/D002648,FAG2806
Adolescence (13 à 18 ans),Adolescent (13 to 18 years),http://id.nlm.nih.gov/mesh/D000293,FAG2098
Adulte (19 à 24 ans),Young Adult (19 to 24 years),http://id.nlm.nih.gov/mesh/D055815,FAG4659
Adulte (25 à 44 ans),Adult (25 to 44 years),http://id.nlm.nih.gov/mesh/D000328,FAG1646
Adulte (45 à 64 ans),Middle Aged (45 to 64 years),http://id.nlm.nih.gov/mesh/D008875,FAG7390
Personne âgée (65 à 79 ans),Aged (65 to 79 years),http://id.nlm.nih.gov/mesh/D000368,FAG4840
Grand âge (80 ans et plus),"Aged, 80 and over (80 years and more)",http://id.nlm.nih.gov/mesh/D000369,FAG4994
