prefLabel_fr,prefLabel_en,exactMatch,identifier
Tissus,Tissues,http://id.nlm.nih.gov/mesh/D014024,FBC4935
Cellules,Cells,http://id.nlm.nih.gov/mesh/D002477,FBC3227
Acides nucléiques,Nucleic acids,http://id.nlm.nih.gov/mesh/D009696,FBC6577
Sang total,Whole blood,http://id.nlm.nih.gov/mesh/D001769,FBC1781
Plasma,Plasma,http://id.nlm.nih.gov/mesh/D010949,FBC6115
Sang fœtal,Fetal blood,http://id.nlm.nih.gov/mesh/D005312,FBC4951
Sérum,Serum,http://id.nlm.nih.gov/mesh/D044967,FBC4177
Cellules sanguines,Blood cells,http://id.nlm.nih.gov/mesh/D001773,FBC4986
Autres liquides ou sécretions biologiques,Other fluids and secretions,,FBC8260
Autres  ,Others,,FBC3237
