prefLabel_fr,prefLabel_en,exactMatch,identifier
Examens et tests ,Measurements and tests,http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/38ceaa4,FCM5875
"Tests éducatifs / évaluation des connaissances en santé (littératie, autogestion, interprétation d’informations médicales...)","Educational tests/assessment of health knowledge (literacy, self-management, interpretation of medical information, etc.)",http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/4b9776b,FCM5690
"Mesures physiques/biologiques (tension artérielle, poids, biochimie, imagerie...)","Physical/biological measurements (blood pressure, weight, biochemistry, imaging, etc.)",http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/c2a25a6,FCM1593
"Tests psychologiques/échelles cliniques (dépression, cognition, qualité de vie...)","Psychological tests/clinical scales (depression, cognition, quality of life, etc.)",http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/27daf03,FCM1030
Entretien avec le participant (dont clinique),Interview with the participant (including clinical),http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/cb20d17,FCM2231
Questionnaire auto-administré,Self-administered questionnaire,http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/35e4248,FCM3652
Expérimentation / essai,Experiment / trial,http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/05aeba4,FCM3176
Experimentation en laboratoire (conditions contrôlées),Laboratory experimentation (controlled conditions),http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/28a60a6,FCM6958
Experimentation sur le terrain (intervention clinique ou de santé publique),Field experimentation (clinical or public health intervention),http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/5ff61de,FCM8943
Expérimentation en ligne à l'aide des outils numériques,Online experimentation using digital tools,http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/ed0d083,FCM2356
"Enregistrement (audio, vidéo, électrophysiologique, imagerie)","Recording (audio, video, electrophysiological, imaging)",http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/c5564d2,FCM3300
Observation (clinique ou comportementale),Observation (clinical or behavioural),http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/c680d43,FCM5311
Transcription et saisie d’informations dans un enregistrement structuré,Converting or copying information into a structured record,http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/df9aac3,FCM8390
Autre,Other,http://rdf-vocabulary.ddialliance.org/cv/ModeOfCollection/4.0.3/6311ae1,FCM3481
