prefLabel_fr,prefLabel_en,exactMatch,identifier
Données cliniques,Clinical data,,FDA6638
Données paracliniques (hors biologiques),Paraclinical data (non-biological),,FDA6856
Données paracliniques (hors biologiques) : Imagerie,Paraclinical data (non-biological) : Imaging,,FDA7482
Données paracliniques (hors biologiques) : Anthropométrie,Paraclinical data (non-biological) : Anthropometry,,FDA2448
Données paracliniques (hors biologiques) : Exploration fonctionnelle,Paraclinical data (non-biological) : Function testing,,FDA9485
Données paracliniques (hors biologiques) : Autre,Paraclinical data (non-biological) : Other,,FDA8921
Données biologiques,Biological data,,FDA1123
Données socio-démographiques,Socio-demographic data,,FDA6942
Données environnementales / d'exposition,Environmental / exposure data,,FDA5329
Données comportementales,Behavioral data,,FDA1621
Données géospatiales,Geospatial data,,FDA2968
Données économiques,Economic data,,FDA4988
Données génétiques / génomiques,Genetic / genomic data,,FDA6004
Données de santé rapportées par les participants de l'étude,Participant-reported health data,,FDA6533
Autre,Other,,FDA6414
