prefLabel_fr,prefLabel_en,exactMatch,identifier
Déterminants socio-démographiques et économiques,Socio-demographic and economic determinants,,FHD1624
Déterminants socio-démographiques et économiques : Emploi,Socio-demographic and economic determinants: Employment,,FHD7164
Déterminants socio-démographiques et économiques : Revenu,Socio-demographic and economic determinants: Income,,FHD8197
Déterminants socio-démographiques et économiques : Logement,Socio-demographic and economic determinants: Housing,,FHD9559
Déterminants socio-démographiques et économiques : Niveau d'études,Socio-demographic and economic determinants: Education level,,FHD6471
Déterminants socio-démographiques et économiques : Situation familiale,Socio-demographic and economic determinants: Family situation,,FHD7020
Déterminants socio-démographiques et économiques : Genre,Socio-demographic and economic determinants: Gender,,FHD7708
Déterminants socio-démographiques et économiques : Age,Socio-demographic and economic determinants: Age,,FHD3308
Déterminants socio-démographiques et économiques : Autre,Socio-demographic and economic determinants: Other,,FHD5890
Déterminants environnementaux,Environmental determinants,,FHD1261
Déterminants environnementaux : Qualité de l'air,Environmental determinants: Air quality,,FHD4756
Déterminants environnementaux : Qualité de l'eau,Environmental determinants: Water quality,,FHD8793
Déterminants environnementaux : Climat,Environmental determinants: Climate,,FHD8320
Déterminants environnementaux : Autre,Environmental determinants: Other,,FHD2169
Déterminants liés au système de santé,Healthcare system determinants,,FHD2204
Déterminants liés au système de santé : Accès aux soins,Healthcare system determinants: Access to care,,FHD5923
Déterminants liés au système de santé : Qualité des soins,Healthcare system determinants: Quality of care,,FHD5552
Déterminants liés au système de santé : Consommation des soins,Healthcare system determinants: Use of care,,FHD9877
Déterminants liés au système de santé : Autre,Healthcare system determinants: Other,,FHD3763
Déterminants comportementaux,Behavioral determinants,,FHD4659
Déterminants comportementaux : Addiction,Behavioral determinants: Addiction,,FHD7735
Déterminants comportementaux : Alimentation,Behavioral determinants: Eating habits,,FHD9955
Déterminants comportementaux : Activité physique,Behavioral determinants: Physical activity,,FHD1859
Déterminants comportementaux : Littératie en santé,Behavioral determinants: Health literacy,,FHD4541
Déterminants comportementaux : Hygiène,Behavioral determinants: Hygiene,,FHD1085
Déterminants comportementaux : Pratiques sexuelles,Behavioral determinants: Sexual practice,,FHD8610
Déterminants comportementaux : Comportements à risque,Behavioral determinants: Risk behavior,,FHD8373
Déterminants comportementaux : Autre,Behavioral determinants: Other,,FHD4305
Déterminants biologiques,Biological determinants,,FHD7064
Déterminants biologiques : Prédisposition génétique,Biological determinants: Genetic predisposition,,FHD1224
Déterminants biologiques : Viellissement,Biological determinants: Aging,,FHD6631
Déterminants biologiques : Sexe,Biological determinants: Sex,,FHD5526
Déterminants biologiques : Autre,Biological determinants: Other,,FHD7008
Autre,Other,,FHD3661
