prefLabel_fr,prefLabel_en,exactMatch,identifier
Addictologie,Addiction medicine,http://id.nlm.nih.gov/mesh/D000073316,FHT6579
Allergologie,Allergology,http://data.europa.eu/8mn/euroscivoc/af65e2bf-afc5-45e8-a0fc-364dfb48f0a4,FHT6478
Andrologie et urologie,Andrology and urology,,FHT8575
Anesthésiologie,Anaesthesiology,http://data.europa.eu/8mn/euroscivoc/e92e8adc-8256-4a4c-a052-b3cad420db7d,FHT6307
Cardiologie et médecine vasculaire,Cardiology and vascular medicine,,FHT4041
Chirurgie,Surgery,http://data.europa.eu/8mn/euroscivoc/432746d6-998b-431f-b22f-d3abe0e8aada,FHT9233
Dermatologie,Dermatology,http://data.europa.eu/8mn/euroscivoc/5375c411-6db9-40ed-a854-6554102a587b,FHT5992
Endocrinologie,Endocrinology,http://data.europa.eu/8mn/euroscivoc/d1dd1bac-5313-4ab3-837f-4acd3ec521a7,FHT5554
Ethique médicale,Medical ethics,http://data.europa.eu/8mn/euroscivoc/cbb6f86d-b5c6-4649-9b06-3712653ca459,FHT2954
Gastroentérologie,Gastroenterology,http://data.europa.eu/8mn/euroscivoc/a3898340-a42d-4f5e-a822-1de204a9a867,FHT2800
Génétique médicale,Medical genetics,http://data.europa.eu/8mn/euroscivoc/8e2d297f-5880-4d7a-969d-79026aa0779c,FHT5098
Gériatrie,Geriatrics,http://data.europa.eu/8mn/euroscivoc/d37e4d8c-a978-40c7-ba4f-eee841851073,FHT7111
Gynécologie et obstétrique,Gynaecology and obstetrics,,FHT1042
Hématologie,Hematology,http://data.europa.eu/8mn/euroscivoc/9239f328-78c9-40a5-a0b9-8e66fd9b6245,FHT4966
Hépatologie,Hepatology,http://data.europa.eu/8mn/euroscivoc/27c456a1-051a-42f6-b52a-3beff0487da7,FHT5264
Immunologie médicale,Clinical immunology,http://data.europa.eu/8mn/euroscivoc/7a3cf568-46ba-4840-be8f-f22fc030139f,FHT6387
Infectiologie,Infectious disease medicine,http://data.europa.eu/8mn/euroscivoc/fa2ceeab-3b2f-45e9-9243-e5a8005b98de,FHT4835
Médecine complémentaire et intégrative,Integrative and complementary medicine,http://data.europa.eu/8mn/euroscivoc/c3c03909-fc4b-4082-9de2-3a105efcb1aa,FHT9030
Médecine d’urgence,Emergency medicine,http://data.europa.eu/8mn/euroscivoc/5e1591e2-d02b-436c-8216-6b8912eee467,FHT8595
Médecine générale,General medicine,http://data.europa.eu/8mn/euroscivoc/4b9f8efb-68dd-45a1-b04c-d23d457d6898,FHT2605
Médecine interne,Internal medicine,http://data.europa.eu/8mn/euroscivoc/0d45044a-74d5-4bd7-b920-b92af3388576 ,FHT3518
Médecine physique et de réadaptation,Physical and Rehabilitation Medicine,http://id.nlm.nih.gov/mesh/D010810,FHT4634
Médecine régénérative,Regenerative medicine,http://id.nlm.nih.gov/mesh/D044968,FHT9149
Médecine tropicale,Tropical medicine,http://data.europa.eu/8mn/euroscivoc/4cec15e9-0570-49e3-91d7-cebe00d0fadf,FHT5830
Néphrologie,Nephrology,http://data.europa.eu/8mn/euroscivoc/3961e9d2-ab3b-451b-b246-20fc0ec3b0c4,FHT3469
Neurologie,Neurology,http://data.europa.eu/8mn/euroscivoc/c4793dfe-e80e-49dd-9fcc-a1a742de1b25,FHT5486
Nutrition et diététique,Nutrition and dietetics,,FHT2394
Odontologie,Dentistry,http://data.europa.eu/8mn/euroscivoc/5754a839-d714-4849-9789-e831eb4af6f1,FHT9042
Oncologie,Oncology,http://data.europa.eu/8mn/euroscivoc/5784b7f1-c7ce-49d9-9f38-aebcda0ff41d,FHT7299
Ophtalmologie,Ophthalmology,http://data.europa.eu/8mn/euroscivoc/621ef1ce-2ebd-43d9-a6c7-ecd962d27269,FHT6839
Orthopédie et traumatologie,Orthopaedics and traumatology,,FHT7276
Oto-rhino-laryngologie,Otolaryngology,http://data.europa.eu/8mn/euroscivoc/9c3a57c5-68bd-4ee7-a9cc-aa8ba07bde94,FHT5932
Pédiatrie,Paediatrics,http://data.europa.eu/8mn/euroscivoc/bf8aaaac-ddee-41cd-bb8a-c5a63de3fcbd,FHT8044
Pneumologie,Pulmonary medicine,http://data.europa.eu/8mn/euroscivoc/f6e18c52-6087-4662-904c-5c4b8174e40e,FHT9236
Psychiatrie,Psychiatry,http://data.europa.eu/8mn/euroscivoc/3de50dee-da1c-4791-a386-56bca24a5fed,FHT6766
Radiologie et médecine nucléaire,Radiology and nuclear medicine,,FHT5807
Rhumatologie,Rheumatology,http://data.europa.eu/8mn/euroscivoc/bfb0bafd-7894-45ba-84fc-ddab5fd6c537,FHT6308
"Santé publique, environnementale et du travail","Public, environmental and occupational health",,FHT9410
Sciences du sport et de la condition physique,Sports medicine,http://data.europa.eu/8mn/euroscivoc/ff9e9276-586f-44d1-a309-368cbd77bdcb,FHT4398
Sciences et services de santé ,Health care sciences and services,,FHT3470
Sciences infirmières,Nursing,http://data.europa.eu/8mn/euroscivoc/79c581d5-f4f7-47b5-b582-ee6e88ee1815,FHT7651
Transplantation,Transplantation,http://data.europa.eu/8mn/euroscivoc/71137b04-547d-4329-8db3-251df3e84589,FHT5711
Vénérologie,Venereology,http://data.europa.eu/8mn/euroscivoc/cb061cc1-dd52-46a4-a8fe-065838d5b44a,FHT6212
Autre,Other,,FHT8403
