Terme français,Terme anglais,Description en français,Description en anglais
Autre,Other,"À utiliser lorsque le type d'intervention est connu, mais introuvable dans la liste.",Used when the intervention type is known but cannot be found in the list.
Biologique-vaccin,Biological-Vaccine,"Administration d'un produits dérivés de sources biologiques (ex.anticorps, cellules, vaccins) destinée à prévenir, traiter ou diagnostiquer une maladie.","Administration of a product derived from biological sources (e.g. antibodies, cells, vaccines) intended to prevent, treat or diagnose a disease."
Radiation,Radiation,Utilisation de rayonnements ionisants ou non ionisants pour diagnostiquer ou traiter une maladie.,Use of ionising or non-ionising radiation to diagnose or treat disease.
Procédure-chirurgie,Procedure-Surgery,Réalisation d'une intervention médicale ou chirurgicale à des fins thérapeutiques ou diagnostiques.,Performing a medical or surgical procedure for therapeutic or diagnostic purposes.
Dispositif médical,Device,"Utilisation d'un dispositif médical pour diagnostiquer, traiter ou prévenir une affection.","Use of a medical device to diagnose, treat, or prevent a condition."
Santé publique,Public Health,Mesures mises en place pour la protection contre un risque sanitaire ou pour la promotion de la santé auprès de la population.,Measures implemented to protect against health risks or to promote health among the population.
Génétique,Genetic,"Utilisation de thérapies géniques, de thérapies par cellules souches ou d'approches utilisant l'ADN recombinant.","Use of gene therapies, stem cell interventions, or recombinant DNA approaches."
Médicament,Drug,"Administration d'une substance chimique destinée à prévenir, traiter ou diagnostiquer une maladie.","Administration of a chemical substance or formulation intended to prevent, treat or diagnose a disease."
Combinaison,Combination Product,"Intervention combinant deux ou plusieurs types (ex. combinaison d'un médicament et d'un dispositif, d'un produit biologique et d'un dispositif, etc).","Intervention combining two or more types (e.g., combination of a drug and a device, a biological product and a device, etc.)."
Comportementale,Behavioral,"Intervention visant à modifier le comportement ou le mode de vie, comme psychotérapie, l’éducation ou le coaching.","Intervention aimed at changing behaviour, such as psychotherapy, education or coaching."
Complément alimentaire,Dietary Supplement,"Administration de vitamines, minéraux ou autres produits nutritionnels pour modifier l’état de santé.","Administering vitamins, minerals, or other nutritional products to affect health outcomes."
Test diagnostic,Diagnostic Test,"Réalisation de tests, d'examens d'imagerie ou d'analyses en laboratoire afin de détecter, diagnostiquer ou surveiller un état pathologique.","Performing tests, imaging, or laboratory assays to detect, diagnose, or monitor a condition."
