prefLabel_fr,prefLabel_en,exactMatch,identifier
Dénombrement complet (dont recrutement consécutif),Complete enumeration (including consecutive recruitment),http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/885b553,FSM8815
Probabiliste,Probability,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/0d2765b,FSM2623
Probabiliste : aléatoire simple,Probability: Simple random,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/38e8e88,FSM5734
Probabiliste : Aléatoire systématique ou Echantillonnage par intervalle,Probability: Systematic random or Interval sampling,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/f189f62,FSM2062
Probabiliste : stratifié,Probability: Stratified,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/55d038d,FSM5578
Probabiliste : grappe,Probability: Cluster,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/1f6e5f3,FSM6437
Probabiliste : multi-étapes,Probability: Multistage,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/f91d8ca,FSM6447
Non probabiliste,Non-probability,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/4d8364f,FSM6534
"Non probabiliste : disponibilité (de ""convenance"" ou d'""opportunité"")","Non-probability: Availability (""convenience"" or ""opportunity"" sampling)",http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/90cbfe9,FSM9042
"Non probabiliste : raisonné ou par ""jugement""","Non-probability: Purposive or ""judgement"" sampling",http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/45d8ec9,FSM1935
Non probabiliste : quota,Non-probability: Quota,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/f620230,FSM9822
"Non probabiliste : échantillonnage par les répondants ou ""boule de neige""",Non-probability: Respondent-assisted or snowball,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/086e080,FSM8139
Mixte probabiliste et non probabiliste,Mixed probability and non-probability,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/e890a15,FSM4991
Autre,Other,http://rdf-vocabulary.ddialliance.org/cv/SamplingProcedure/1.1.4/6311ae1,FSM9375
Non probabiliste : par saturation,Non-probability: Saturation sampling,,FSM5844
